# Data obtained from Wikipedia,,
Element,Mohs hardness,Density (g/cc)
lithium,0.6,0.534
beryllium,5.5,1.85
boron,9.4,2.34
carbon,10,3.513
sodium,0.5,0.968
magnesium,2.5,1.738
aluminium,2.75,2.7
silicon,6.5,2.33
sulfur,2,2.08
potassium,0.4,0.89
calcium,1.75,1.55
titanium,6,4.506
vanadium,7,6.11
chromium,8.5,7.15
manganese,6,7.21
iron,4,7.86
cobalt,5,8.9
nickel,4,8.908
copper,3,8.96
zinc,2.5,7.14
gallium,1.5,5.91
germanium,6,5.323
arsenic,3.5,5.727
selenium,2,4.81
rubidium,0.3,1.532
strontium,1.5,2.64
zirconium,5,6.52
niobium,6,8.57
molybdenum,5.5,10.28
ruthenium,6.5,12.45
rhodium,6,12.41
palladium,4.75,12.023
silver,2.5,10.49
cadmium,2,8.65
indium,1.2,7.31
tin,1.5,7.265
