# Data obtained from Wikipedia,,,
Element,Number,Mohs hardness,Density (g/cc)
lithium,3,0.6,0.534
beryllium,4,5.5,1.85
boron,5,9.4,2.34
carbon,6,10,3.513
sodium,11,0.5,0.968
magnesium,12,2.5,1.738
aluminium,13,2.75,2.7
silicon,14,6.5,2.33
sulfur,16,2,2.08
potassium,19,0.4,0.89
calcium,20,1.75,1.55
titanium,22,6,4.506
vanadium,23,7,6.11
chromium,24,8.5,7.15
manganese,25,6,7.21
iron,26,4,7.86
cobalt,27,5,8.9
nickel,28,4,8.908
copper,29,3,8.96
zinc,30,2.5,7.14
gallium,31,1.5,5.91
germanium,32,6,5.323
arsenic,33,3.5,5.727
selenium,34,2,4.81
rubidium,37,0.3,1.532
strontium,38,1.5,2.64
zirconium,40,5,6.52
niobium,41,6,8.57
molybdenum,42,5.5,10.28
ruthenium,44,6.5,12.45
rhodium,45,6,12.41
palladium,46,4.75,12.023
silver,47,2.5,10.49
cadmium,48,2,8.65
indium,49,1.2,7.31
tin,50,1.5,7.265
